,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_1,45.94499999999999,7.878,18176,5585,0,1,1,43459,64278,162242174,112334748,25912131,275891,52714808,1432936,513498,2387
run_2,43.730999999999995,3.9719999999999995,340,1438,0,0,0,38931,63072,157592767,113465665,29545844,281000,52511114,1277012,458540,464
run_3,49.30099999999999,0.0,72,2571,0,0,0,40471,64836,154987438,105215360,25706010,266229,52094965,1326282,392693,703
run_4,51.303,0.0,2904,3687,0,0,0,42532,63604,161389141,110923120,26652242,261304,52293474,1336698,514925,1399
run_5,51.834,0.0,1592,3748,0,0,0,43005,63548,161767596,107178291,24981897,266459,52411858,1483623,487714,2326
run_6,47.53199999999998,4.068999999999999,0,3738,0,0,0,42789,62748,162919114,116694679,28986010,284091,52737663,1190806,603623,2261
run_7,47.37900000000002,3.5199999999999996,0,3751,0,0,0,42098,63824,159062504,114724675,28025800,267283,52256704,1371233,530638,1605
run_8,48.041000000000054,3.9849999999999994,0,3722,0,0,0,43254,64158,153015092,112762823,27903296,277107,53187867,1402467,500113,3245
run_9,43.745000000000005,7.9339999999999975,0,3728,0,0,0,42928,64556,162602181,108123158,25251564,269918,52279148,1457419,485013,2269
run_10,51.14999999999998,0.0,0,3629,0,0,0,42320,62984,162977334,102640365,23501781,261302,52019224,1521515,457093,2618
run_11,49.04899999999998,0.07099999999999795,0,2053,0,0,0,40346,64846,185391974,118242028,30434309,289433,52850002,1059058,680360,1209
run_12,49.51599999999996,0.0,0,2734,0,0,0,40740,63374,163473310,107637954,25227974,258609,52091789,1553870,347304,746
run_13,50.30799999999999,0.0,0,2734,0,0,0,41492,64010,153758783,112857432,27154981,277244,52795541,1244145,421822,1603
run_14,46.321000000000026,3.9549999999999983,0,2730,0,0,0,41490,62820,153881270,113067293,27360273,271988,52833203,1225399,432571,1001
run_15,44.239999999999895,7.472000000000001,0,3748,0,0,0,42866,63638,155640791,114293720,28105785,276554,52637238,1223968,559653,2037
run_16,43.44100000000003,7.910000000000004,0,3721,0,0,0,42499,63988,164427257,109427964,26394918,262662,52038069,1545447,451510,2204
run_17,47.51100000000008,3.959000000000003,0,3724,0,0,1,42651,64308,162854456,106396961,24878729,264185,52119341,1652608,443835,2114
run_18,43.462999999999965,7.913000000000004,0,3742,0,0,0,42592,63162,164319150,102850449,23780873,258918,51817002,1683886,411130,1696
run_19,45.350000000000136,4.081999999999994,0,2616,0,0,0,40585,65084,157193564,114916601,29530265,285320,52489044,1182501,659686,1305
run_20,45.87999999999988,3.847999999999999,0,2650,0,0,0,40889,63228,155851378,104227063,25496983,257918,52336628,1339122,383008,887
run_21,45.87999999999988,3.8470000000000084,0,2690,0,0,1,40783,64122,156817690,108219707,26697339,267585,52433190,1570860,522288,525
run_22,46.830000000000155,3.9110000000000014,0,2767,0,0,0,41853,62812,155008603,112829815,27254086,267094,52748679,1227467,420054,1364
run_23,45.74000000000001,4.112000000000009,0,2685,0,0,1,41078,63810,152426870,111983293,28269302,276694,52682846,1469345,555687,791
