run,bpe_token_time_ms,model_load_time_ms,instructions,cpu_cycles,branch_instr,branch_miss,l1d_access,l1d_miss,l3_access,l3_miss
1,,,,,,,,,,
2,35.5798,50.3049,9999920,30568082,,8170,23981005,695402,50298,3402
3,36.0889,51.8682,9625009,32771401,,8163,22128981,607718,55065,15686
4,61.832,50.9119,10227827,42088375,,45914,14798776,423561,33273,16484
5,35.0779,52.5881,10288088,30718829,,8285,23114441,667307,48040,4607
6,34.9231,51.876,10377247,30027464,,8458,26339128,752103,50801,1594
7,67.7739,52.7051,12692014,41360300,,77998,20475539,409038,31220,13339
8,35.217,76.6528,10258562,30954608,,7840,23850838,678784,50042,4407
9,35.146,52.4348,10167898,30706408,,7823,23652906,693572,49342,4210
10,56.917,52.3079,10350669,42577341,,52864,14071958,472171,40759,17360
11,34.9412,46.967,9151617,32347812,,8371,21225908,616696,55035,16184
12,35.3472,50.822,9535043,31521291,,7973,24749576,737850,49560,1667
13,69.0371,51.98,13171599,41178108,,79832,20811275,429089,30226,12787
14,35.123,50.8682,9437044,31672624,,8106,21825959,637139,46749,14829
15,35.2571,50.4858,10153404,31189173,,8013,23896524,697342,59805,4004
16,70.0239,51.5679,12982523,41170574,,79112,20498493,437083,27172,11900
17,35.7249,73.689,10304421,31579065,,8436,26083845,754491,58179,1442
18,35.0229,52.2131,10309705,30364099,,7910,26214971,757226,44221,1794
19,55.4658,52.531,8956038,40676714,,28155,15458062,411841,42377,17602
20,35.2451,50.9409,9784236,31524257,,8357,26414355,763241,46725,1559
21,35.5078,51.7871,10363427,31368222,,7880,23549956,659509,52084,4645
22,65.9822,50.8372,10255360,41991836,,45577,14738691,419137,32285,17357
23,35.283,50.23,9423719,32609523,,8100,21517437,639704,57094,18037
24,35.106,48.5042,10645484,30875338,,7946,26539486,766051,46050,1928
25,67.312,47.958,10315442,42160156,,45407,14837431,418532,35615,16595
26,35.009,49.1431,10105121,30399316,,8518,23803317,688617,53071,3831
27,35.229,49.252,8708316,33426338,,8189,19771910,591393,48891,16418
28,64.7771,48.3071,12167430,41771898,,79292,19421023,337021,19384,12143
29,35.7971,76.8921,9625552,32525847,,8007,25450661,737580,48857,1716
30,35.1509,49.8169,9965196,31062359,,8096,22951241,648692,48960,15749
31,66.3708,51.2349,9892731,41431401,,48728,14263733,468771,40079,16442
32,35.1509,51.563,10552656,30767801,,8422,26424112,775963,48085,1503
33,35.0491,50.231,10093203,30543588,,7801,23927239,695273,51215,3654
34,65.2949,51.541,9491445,40223364,,45023,14913668,452381,34592,17324
35,35.177,47.561,9190642,32146589,,7951,21404310,628244,48900,15944
36,35.2861,49.782,9679172,30923248,,8236,24553152,733640,48325,1660
37,57.2249,51.3521,9654113,41861705,,37924,15381451,401778,38209,16482
38,35.2219,50.49,10125348,30867332,,8500,23825641,696929,50716,4171
39,35.2231,50.731,10702029,30876901,,8262,26976514,767228,50320,1799
40,66.9719,49.543,12371935,42291957,,79029,19690859,341752,20757,12677
41,35.457,74.8201,9857888,31684569,,7830,22320389,650420,53166,14949
42,35.397,49.365,9862186,31734250,,8268,22349204,647329,53548,14855
43,58.45,51.2332,9479759,40888570,,45466,14941310,476483,33380,16668
44,35.8379,71.644,9715272,32444764,,7916,25637080,751859,49050,1405
45,35.2249,50.394,9915969,31349617,,8259,22351029,641640,58664,15850
46,69.2241,48.2048,13153641,41122870,,79101,20740879,419492,31337,13451
47,35.1638,50.0942,10473423,30668053,,8035,26324762,758459,52070,1653
48,35.3508,50.9702,8581001,33672049,,5608,19385633,594520,51620,16043
49,68.7339,49.3591,13102123,40886815,,80096,20596294,440685,26300,11876
50,36.2581,75.739,9647509,33626205,,7902,21162552,600958,55860,16839
51,35.3701,50.1401,9548654,31408865,,8195,25283088,750894,51471,1358
52,78.394,51.0039,13061091,40981857,,80346,20423283,416973,29319,13611
53,35.4341,49.811,9041731,32531130,,8051,21062663,619206,50395,16420
54,35.8279,49.738,9589351,31822392,,8473,24632105,722667,56801,1736
55,70.3989,45.781,12968802,40958087,,79408,20501046,408728,30007,13858
56,35.9531,73.54,9553902,32674270,,7977,21412549,613693,47468,16343
57,35.6482,49.365,10033584,31863842,,7814,22280230,627111,52192,16251
58,71.762,47.8379,12886798,41173574,,79279,20404710,403778,29404,12978
59,35.7532,46.3201,10235215,31709523,,7862,26068866,769783,53782,1974
60,35.6162,49.394,9665201,32966125,,8140,21697493,614095,58537,14646
61,62.1211,50.5391,11518845,44384075,,53517,13881245,452031,28786,18467
62,35.3599,51.3289,9843147,31581228,,7893,24914020,721866,49101,1809
63,35.2749,51.0759,9814331,31396902,,8209,25739646,764240,52107,1457
64,75.312,50.6211,10452790,42251243,,48934,14377584,433138,33881,17209
65,35.3069,49.5979,9464601,31060764,,7828,24884981,751801,47508,1985
66,35.2529,50.6311,9603083,31038825,,7829,25538716,780199,48519,1569
67,56.6821,51.8818,8969703,40808278,,30059,15433110,420290,37621,16417
68,35.7869,51.438,9547337,32070910,,8423,24818907,740082,49732,1811
69,36.175,52.2568,10531045,32759767,,8145,23277300,628037,48122,9130
70,67.3298,47.46,10770312,43075988,,49747,14211861,436396,29400,17211
71,35.231,52.2119,9750627,31029632,,7806,24474572,736606,49202,1716
72,35.3062,50.3979,9721406,31251873,,8036,24506832,736839,51074,1679
73,65.0159,49.0342,12152506,42471059,,79346,19845449,379418,22067,13219
74,35.927,75.041,10259159,31927105,,8279,23357167,675138,51121,4692
75,35.1931,50.7571,9703226,30461937,,8149,24360448,721103,53772,2077
76,58.5762,50.9321,8904931,40414584,,43898,15056196,443179,41689,15635
77,35.4768,50.0159,9626231,32157935,,8108,21987536,634823,55511,15836
78,35.1221,48.0249,9957756,30886720,,8022,22696855,659165,51579,13567
79,60.1069,47.429,10646287,39187904,,8597,22363726,596193,44698,2350
80,35.134,50.7849,9607884,30564749,,8485,25602189,792350,49311,1640
81,35.3608,51.812,9739260,31116734,,8400,24460108,716383,51760,1993
82,64.7109,50.4509,10241009,42628650,,46562,14795157,417376,36257,18230
83,35.0381,49.833,10140570,30217384,,8005,23566789,686681,48192,4758
84,35.3411,50.675,9685979,31393359,,8209,25224849,781996,54399,1981
85,54.8459,49.177,8981476,41140741,,29256,15445353,406940,47164,17276
86,35.0159,50.1511,10667894,30365936,,8206,26566215,751118,46184,1593
87,35.2109,47.231,10115160,30774413,,8311,22896805,664702,52427,10276
