,cpu_time_diff_ms,sys_time_diff_ms,rss_diff_kb,pagefault_soft_diff,pagefault_hard_diff,ctx_voluntary_diff,ctx_involuntary_diff,bpe_time_us,output_size_bytes,instructions,cpu_cycles,branch_instructions,branch_misses,l1d_access,l1d_miss,l3_access,l3_miss
run_1,71.69,7.962,17888,5586,0,1,8,,,247212511,120689486,23278151,233543,37027070,1634081,357045,22788
run_2,50.47900000000004,12.223000000000003,0,3169,0,0,5,,,175478650,91538541,19864850,203274,52080289,1813001,272713,2026
run_3,59.923,3.9849999999999994,672,2805,0,0,7,,,173026104,96182844,19748003,209520,54072221,1979152,319427,4109
run_4,53.93199999999996,11.785000000000004,4,2756,0,0,6,,,188479238,101153380,19670963,191320,48719718,1877588,286473,7852
run_5,57.67100000000005,7.729000000000006,80,2734,0,0,8,,,182366935,100034290,19542374,202011,50550403,1893240,284951,7995
run_6,65.30599999999998,0.17300000000000182,0,2730,0,0,6,,,172638828,101257177,20330995,214056,52390616,1749306,272428,7936
run_7,60.71499999999992,0.08100000000000307,0,2734,0,0,5,,,177827631,92008042,20087777,209816,54914711,1811743,268062,1474
run_8,56.21500000000003,4.021000000000001,0,2734,0,0,6,,,153602954,99215561,21341373,276231,55630260,1691694,260530,776
run_9,65.27199999999993,0.10899999999999466,0,2736,0,0,6,,,203358924,100743749,20698459,186079,45540370,1869655,296965,4364
run_10,57.801000000000045,7.813000000000002,0,2732,0,0,7,,,196641894,101094822,19312552,185256,47664536,1905356,287674,7975
run_11,52.778999999999996,8.066000000000003,0,2738,0,0,6,,,162420922,96990782,20208864,265131,55214314,1727028,249557,1199
run_12,65.28800000000001,0.11099999999999,0,2736,0,0,7,,,174435720,100303219,20214958,209045,52872535,1739823,274272,6808
run_13,65.38599999999997,0.10300000000000864,0,2734,0,0,7,,,196160943,101865463,19853097,188772,47157725,1889969,288505,8160
run_14,62.596000000000004,3.88900000000001,0,2730,0,0,8,,,192929277,103251133,20095648,189965,47981980,1878146,289382,8240
run_15,61.799999999999955,3.831000000000003,0,2734,0,0,7,,,191545098,100551503,19604838,194177,48307927,1892208,279683,7919
run_16,57.22000000000003,8.094999999999999,0,2734,0,0,7,,,182793198,100427593,19714332,201075,50626059,1860594,279181,7822
run_17,53.960000000000036,8.163999999999987,0,2736,0,0,6,,,188825512,95027638,19498334,198393,49146353,1892658,280586,1587
run_18,61.570000000000164,4.1270000000000095,0,2732,0,0,7,,,202279351,103222056,21080118,181851,45565996,1781177,294862,6477
run_19,61.190000000000055,4.094000000000008,0,2740,0,0,8,,,194184354,100027543,19431387,187810,47097395,1885075,275810,8298
run_20,62.15000000000009,3.846999999999994,0,2736,0,0,7,,,189984735,101939532,19638895,191536,48476959,1892770,283004,7831
run_21,58.930000000000064,3.9129999999999967,0,2734,0,0,6,,,169015463,96201981,19909596,220077,55657708,1784244,267490,1598
run_22,64.68000000000006,0.0,0,2730,0,0,6,,,191713542,100150415,19509805,194792,48751758,1885580,281836,4196
run_23,61.559999999999945,3.8640000000000043,0,2734,0,0,7,,,173297252,102250506,20277425,211585,51893497,1755850,268678,8358
run_24,58.02999999999997,8.162000000000006,0,2734,0,0,6,,,201058761,103883130,21376392,182313,44889155,1741322,284592,7887
run_25,60.930000000000064,4.072000000000003,0,2734,0,0,6,,,193339707,101486540,19591506,194943,47606008,1899220,281611,8992
run_26,57.190000000000055,7.782999999999987,0,2734,0,0,8,,,183518941,102170834,19856930,204925,49735794,1863596,277757,7692
run_27,64.34000000000015,0.02199999999999136,0,2740,0,0,6,,,169430011,100095467,20885686,215400,54382060,1683897,253702,7612
run_28,61.41000000000008,3.801000000000016,0,2736,0,0,7,,,190719053,101838874,19844026,192970,48332236,1884741,278409,7924
run_29,58.67000000000007,7.894999999999982,0,2734,0,0,7,,,184334548,103556438,19488818,195726,49256413,1902938,288111,8108
run_30,58.05000000000018,7.841000000000008,0,2733,0,0,8,,,182137372,102321233,19468299,198537,50110127,2089807,343872,7189
run_31,62.37000000000012,3.8719999999999857,12,2731,0,0,7,,,180065295,102784771,19497026,204037,50753481,1810808,277601,7740
run_32,65.61000000000013,0.13700000000000045,0,2738,0,0,7,,,175852929,101850024,20129604,207733,51644235,1981566,325604,7562
run_33,66.31999999999971,0.18200000000001637,0,2731,0,0,6,,,208859444,103790457,21089880,180419,43606689,1692914,288526,8894
run_34,61.32999999999993,4.0989999999999895,0,2737,0,0,7,,,200455920,101668118,21101912,186623,45511928,2085730,335500,8327
run_35,57.429999999999836,7.805000000000007,8,2733,0,0,7,,,193080624,100096417,19444209,189262,47389716,1884579,271525,7819
run_36,57.539999999999964,7.804999999999978,0,2736,0,0,6,,,181903587,100594127,19670229,197560,50027182,1873668,275459,8083
run_37,63.01000000000022,0.0,0,2738,0,0,7,,,166545853,97131038,20697768,231659,55899064,1950001,317569,1269
run_38,56.940000000000055,8.003000000000014,0,2726,0,0,6,,,178406111,100246800,19682071,207277,51665039,1831415,277366,5012
run_39,61.75,0.14000000000001478,0,2734,0,0,6,,,181712310,94690509,19663111,203763,51285965,1846524,270842,2100
run_40,60.63000000000011,4.048000000000002,0,2739,0,0,6,,,201366620,99219089,19826484,187934,46016738,2148547,334345,2256
run_41,61.5600000000004,0.0,0,2729,0,0,6,,,162883486,96597473,20515056,238224,55871394,1759664,264323,1131
run_42,60.73000000000002,3.8840000000000146,0,2738,0,0,6,,,175483474,101302174,19762508,209821,52288532,1983966,322086,6877
run_43,61.00999999999976,4.073999999999984,4,2736,0,0,6,,,192382586,101846568,19706715,190455,47546328,2082672,331142,7954
run_44,57.98000000000002,7.847000000000008,0,2740,0,0,8,,,185649375,101387065,19649909,198463,48954933,2098929,330686,8311
run_45,62.76999999999998,3.9099999999999966,0,2734,0,0,8,,,181367494,103626522,19430339,196143,49909864,1843792,286260,7928
run_46,57.23000000000002,8.085999999999984,8,2730,0,0,7,,,177674815,102507277,19692621,207371,51109018,2035068,329695,7532
run_47,60.76000000000022,4.057000000000016,0,2732,0,0,6,,,197847175,100404369,20926844,188898,45806604,2090455,325663,8276
run_48,59.01999999999998,7.921999999999997,0,2734,0,0,8,,,197177754,103723918,21032670,187236,46858198,2061388,348935,8010
run_49,62.74000000000024,0.21100000000001273,0,2736,0,0,6,,,184523681,95609350,19472882,201843,50311758,2100792,331370,2025
run_50,64.88999999999987,0.06799999999998363,0,2733,0,0,5,,,201104669,101032164,20100792,188258,46218323,1877030,279768,4483
run_51,57.88000000000011,7.842000000000013,0,2735,0,0,7,,,183501753,102102166,19575159,191712,49201300,2091903,333896,8416
run_52,58.5300000000002,7.886000000000024,0,2740,0,0,8,,,183020908,102966690,19582745,195042,49027919,2087585,331491,8751
run_53,58.190000000000055,7.8580000000000325,0,2736,0,0,7,,,183828271,102857549,19510334,197382,49710065,1850695,284753,8054
run_54,61.440000000000055,4.11099999999999,0,2730,0,0,6,,,176415222,102723169,20028949,208957,51389357,2013980,328111,8705
run_55,65.40999999999985,0.11099999999999,0,2732,0,0,8,,,202181148,101918981,21062298,179504,44787303,2016634,335574,8344
run_56,58.19999999999982,4.1650000000000205,0,2736,0,0,6,,,184604176,95392403,19543093,203721,50908488,2070655,331028,1479
run_57,60.88000000000011,4.065999999999974,0,2734,0,0,8,,,195940057,100162259,19342000,187926,47209300,2157886,338580,4794
run_58,66.19000000000005,0.0,0,2734,0,0,8,,,185167398,102313759,19519513,196284,48974968,2118776,339693,8116
run_59,54.73000000000002,11.777000000000044,0,2734,0,0,9,,,190223126,102652976,19527858,186605,48228546,2129330,336741,7058
run_60,61.88999999999987,3.8419999999999845,0,2740,0,0,7,,,190079884,101987334,19849544,195884,48607492,2089459,323101,8003
run_61,61.309999999999945,4.0989999999999895,0,2737,0,0,7,,,177016204,100717074,19654042,199379,51488327,1800107,271823,8068
run_62,65.59000000000015,0.12100000000003774,0,2733,0,0,9,,,203402593,103251643,21124241,185333,44944933,2016738,339972,8180
run_63,60.88999999999987,4.066000000000031,0,2732,0,0,7,,,193997933,100089787,19375734,188726,47132600,2132613,327391,7505
run_64,63.58999999999969,7.968999999999994,0,2734,0,1,8,,,218446944,108038975,18669884,178211,38000401,1986936,330200,18712
run_65,65.02999999999975,0.07599999999996498,0,2734,0,0,7,,,173587482,100881052,20112109,216831,51941657,2001807,322749,8053
run_66,57.51999999999953,8.115000000000009,0,2734,0,0,7,,,201783930,101985859,21009234,183754,45323056,2079007,339001,8412
run_67,58.57000000000062,7.8940000000000055,0,2735,0,0,7,,,198474770,101607431,20919750,184998,46188835,1823249,281611,7695
run_68,57.63000000000011,7.821000000000026,0,2737,0,0,7,,,198343137,99489281,19577204,184816,46471608,2121606,332936,7556
run_69,57.469999999999345,7.805000000000007,0,2736,0,0,7,,,183558164,100590118,19669983,198425,49786916,1884975,280607,7966
run_70,65.06999999999971,0.08499999999997954,0,2733,0,0,7,,,174301302,101078000,20274234,213932,52231025,1977043,327341,7994
run_71,61.4399999999996,4.108000000000004,0,2732,0,0,5,,,201512986,100248756,20704649,183940,45811291,2105932,332752,8224
run_72,57.97999999999956,7.845000000000027,0,2734,0,0,7,,,196981078,101930618,19276241,189833,47659747,2143351,341960,7336
run_73,61.529999999999745,3.812000000000012,0,2734,0,0,8,,,186193790,100464144,19565756,195958,49418720,2118511,337822,8117
run_74,65.67000000000007,0.12999999999999545,0,2734,0,0,7,,,179194071,101558794,19597358,204782,50976177,2020321,327633,8287
run_75,57.17000000000007,8.086000000000013,0,2735,0,0,7,,,200583388,101030103,21017676,182936,45439653,1829381,285262,8327
run_76,60.780000000000655,3.757000000000005,4,2737,0,0,6,,,189256224,98764137,19777227,191647,48455981,2105079,326695,7989
run_77,65.07999999999993,0.08600000000001273,0,2738,0,0,8,,,174465795,100536258,19957484,206590,51848943,1788809,265066,7884
run_78,65.61999999999989,0.12400000000002365,0,2730,0,0,6,,,199293671,102303151,20995405,185876,46031817,2074850,347939,8047
run_79,61.55999999999949,3.8290000000000077,0,2732,0,0,6,,,194035237,101230329,19498993,187042,47394461,2113969,331563,8877
run_80,57.850000000000364,7.836999999999989,0,2735,0,0,9,,,187647074,100992812,19627591,199068,49024346,1907420,283599,7601
run_81,65.26999999999953,0.09900000000004638,0,2735,0,0,7,,,176543424,101292706,19752968,204755,51272416,2029842,324774,7557
run_82,65.65999999999985,0.12599999999997635,0,2735,0,0,6,,,173924443,101295483,20443154,213827,52140751,1750435,266113,7155
run_83,58.98000000000047,4.216000000000008,0,2735,0,0,5,,,185860481,97726909,19606360,198485,49525192,2085022,330940,3330
run_84,58.090000000000146,8.15300000000002,4,2736,0,0,7,,,179835747,100468579,19652189,196557,50433589,2032417,326068,6486
run_85,53.659999999999854,8.124000000000024,0,2739,0,0,6,,,185265110,94243145,19525473,195809,49893537,1872730,278326,940
run_86,64.82999999999993,0.05899999999996908,0,2729,0,0,6,,,197985826,101964697,19537216,193491,47175124,2146372,338970,5645
run_87,54.0,7.855000000000018,0,2732,0,0,7,,,165967945,95335181,20177568,223295,55671040,1961320,305015,1430
run_88,64.14000000000033,0.007999999999981355,0,2734,0,0,7,,,175750406,99023275,19733113,206988,52507856,2017534,323481,4720
run_89,61.659999999999854,4.120999999999981,0,2737,0,0,7,,,198786014,101802509,20706911,187698,46353993,1873167,285260,8116
run_90,66.07999999999993,0.0,0,2733,0,0,8,,,195406373,102418702,19973841,192775,47170217,2128854,338250,7875
run_91,65.05000000000018,0.0,0,2735,0,0,8,,,183719554,100792464,19639412,195848,49534513,1886015,278802,8263
run_92,65.14000000000033,0.0,4,2738,0,0,7,,,175113894,99764916,19868237,208126,51927664,1765626,259309,7097
run_93,57.4399999999996,7.852000000000032,0,2736,0,0,5,,,195736050,101389649,20594923,186375,46467577,1865030,284789,7116
run_94,62.30000000000018,3.8789999999999623,0,2730,0,0,8,,,194914083,103443422,20454074,193124,47730664,1880330,291208,7736
run_95,57.8100000000004,7.843000000000018,0,2730,0,0,8,,,193265567,100674825,19418005,189734,47670714,1885597,276195,7563
